id_cliente,ltv_12m,ltv_historico,recencia_dias,freq_compras_ano,ticket_medio,num_produtos_distintos,nps_score,tempo_cliente_anos,canal_principal,segmento,porte,qtd_reclamacoes_ano
1001,2712.03,1100.36,96,5,899.84,4,4,0.2,Digital,A,Micro,2
1002,45400.83,58517.1,28,15,2184.81,7,8,2.1,Telefone,B,Micro,1
1003,1136.58,200.0,97,6,503.8,1,4,0.2,Digital,A,Grande,1
1004,12554.94,19216.38,131,7,900.93,1,5,3.9,Digital,A,Micro,5
1005,71769.51,104665.29,35,14,3112.32,9,8,2.8,Telefone,B,Medio,2
1006,919853.61,1128268.93,37,21,8777.3,10,6,7.2,Presencial,B,Medio,0
1007,325530.62,855495.99,32,15,4385.58,7,8,15.3,Telefone,C,Micro,0
1008,350544.0,665195.8,26,16,2448.08,5,6,20.0,Telefone,B,Grande,2
1009,11759.5,19161.67,88,3,1851.63,2,7,4.1,Digital,A,Micro,3
1010,51501.54,96446.46,29,13,580.44,5,8,15.0,Presencial,B,Grande,0
1011,12869.69,4017.58,28,13,1645.22,5,6,0.2,Digital,B,Micro,0
1012,9115.49,12480.96,114,7,523.84,1,4,4.0,Telefone,A,Grande,1
1013,123105.27,153065.36,29,23,1534.34,4,9,5.1,Presencial,C,Micro,0
1014,4683.39,2879.01,104,7,987.54,1,5,0.6,Digital,A,Medio,1
1015,81072.09,100327.93,43,19,1772.0,7,6,3.5,Presencial,C,Medio,1
1016,29495.18,19104.33,18,15,2155.18,8,9,0.7,Presencial,C,Grande,2
1017,268014.51,437065.11,26,19,2628.99,3,8,10.3,Presencial,B,Grande,1
1018,84902.04,151045.49,23,20,4019.13,4,5,2.2,Telefone,C,Medio,1
1019,279344.27,478661.66,21,20,5747.66,6,5,4.9,Presencial,B,Grande,1
1020,202.35,1419.76,77,5,988.27,2,1,0.5,Presencial,A,Micro,5
1021,49438.46,46615.11,31,24,1899.88,6,5,1.2,Digital,B,Micro,0
1022,5774.82,5055.17,90,6,565.52,1,6,1.9,Telefone,A,Micro,1
1023,167298.14,277176.44,33,19,2444.37,6,7,7.0,Presencial,B,Micro,0
1024,103471.46,317103.8,25,16,1431.9,8,7,16.3,Presencial,B,Micro,0
1025,40731.86,46021.26,35,17,1784.08,6,5,1.8,Presencial,B,Medio,1
1026,9333.12,13394.99,88,6,702.58,2,2,3.7,Presencial,A,Micro,3
1027,112339.63,140163.35,29,16,2943.46,11,3,3.5,Presencial,B,Medio,0
1028,36551.5,50217.48,32,16,1083.0,7,7,3.4,Telefone,C,Micro,0
1029,5838.8,3924.1,92,3,612.41,3,5,2.0,Digital,A,Micro,0
1030,81341.61,257431.22,20,20,2291.06,7,4,6.6,Digital,B,Medio,0
1031,16406.13,32895.91,107,8,364.55,1,1,13.7,Digital,A,Medio,0
1032,24564.04,19364.14,29,12,1838.45,14,6,1.0,Presencial,B,Medio,1
1033,0.0,200.0,103,2,577.73,1,4,0.2,Telefone,A,Medio,3
1034,102192.07,109040.09,21,15,2093.86,8,7,4.1,Presencial,B,Micro,0
1035,33797.42,52970.96,80,10,980.1,1,1,6.3,Digital,A,Medio,3
1036,1401.16,2968.39,98,4,689.43,2,1,1.1,Digital,A,Micro,1
1037,45394.67,190979.31,25,23,2633.07,2,8,3.7,Digital,C,Micro,0
1038,5640.11,5643.55,87,6,782.13,2,1,1.5,Digital,A,Micro,0
1039,354811.69,578956.41,27,15,3694.73,3,5,12.3,Telefone,B,Micro,0
1040,2588.83,2506.96,100,3,967.85,2,3,1.0,Presencial,A,Micro,1
1041,146408.25,211979.17,24,18,2376.8,6,6,5.8,Telefone,B,Grande,0
1042,40307.53,14236.84,35,28,3044.55,1,7,0.2,Digital,B,Grande,0
1043,5008.58,2602.19,85,4,2046.34,2,3,0.4,Digital,A,Micro,1
1044,3566.85,4219.51,88,2,555.18,1,4,4.4,Digital,A,Micro,2
1045,1939.98,455.86,95,2,615.32,3,3,1.1,Digital,A,Micro,0
1046,435664.78,682633.11,32,10,4018.25,6,7,20.0,Digital,B,Micro,1
1047,586173.61,609399.86,26,23,3210.72,7,8,9.7,Digital,C,Grande,1
1048,30935.31,16877.48,36,22,3016.02,4,6,0.3,Digital,B,Micro,0
1049,92229.67,104595.92,23,12,670.42,10,4,15.3,Telefone,B,Medio,1
1050,17484.26,21775.33,96,4,810.96,2,6,7.8,Presencial,A,Micro,4
1051,12875.57,22418.82,103,4,1228.44,2,7,5.4,Digital,A,Grande,1
1052,1885.94,2277.06,108,6,701.68,1,6,0.5,Digital,A,Micro,4
1053,9436.15,10962.29,79,5,1735.85,1,5,1.6,Presencial,A,Medio,1
1054,19343.36,38980.27,84,7,735.03,1,3,8.9,Presencial,A,Micro,5
1055,49844.09,34342.04,26,19,2627.51,8,6,0.8,Presencial,B,Medio,0
1056,110928.61,184854.99,27,24,4124.74,5,9,2.2,Digital,B,Micro,0
1057,149239.15,175885.71,34,6,3552.13,5,5,9.7,Telefone,C,Micro,0
1058,2368.42,973.6,99,4,1113.37,2,6,0.3,Digital,A,Grande,2
1059,27408.97,20620.34,27,15,2039.45,6,7,0.8,Digital,B,Grande,3
1060,52056.49,44097.59,24,19,3863.04,2,9,0.7,Telefone,C,Grande,1
1061,55489.95,66523.01,35,18,1668.34,5,8,2.6,Digital,B,Medio,1
1062,9794.79,15174.2,87,8,588.24,1,5,3.7,Presencial,A,Medio,3
1063,1560.88,1172.43,96,5,430.97,1,3,0.7,Digital,A,Micro,1
1064,1183.6,769.64,101,4,1141.3,2,3,0.2,Telefone,A,Micro,2
1065,6130.01,11756.39,97,2,624.44,1,3,10.6,Digital,A,Micro,1
1066,134566.54,193599.05,31,16,1328.23,8,8,10.7,Presencial,B,Medio,0
1067,0.0,457.88,106,1,528.39,3,4,0.9,Telefone,A,Micro,6
1068,35791.59,52003.19,83,5,2065.45,2,3,5.9,Presencial,A,Micro,2
1069,45314.8,147827.69,28,17,1933.16,7,5,5.3,Presencial,B,Medio,2
1070,390914.9,688143.32,34,20,5548.0,11,8,7.3,Presencial,C,Medio,0
1071,47382.56,101714.68,26,16,2217.95,5,6,3.4,Telefone,B,Micro,1
1072,1191888.5,1695315.49,31,20,4985.66,4,6,20.0,Telefone,B,Micro,1
1073,28080.71,8250.05,29,18,2961.03,2,5,0.2,Presencial,B,Micro,0
1074,31986.45,36683.36,95,8,1075.16,5,1,5.0,Digital,A,Micro,1
1075,94565.06,143040.55,35,25,2697.72,7,6,2.5,Presencial,B,Micro,0
1076,188206.1,241669.51,31,18,5267.23,6,7,3.0,Digital,B,Medio,0
1077,358388.51,600078.61,24,24,2317.28,6,5,12.7,Telefone,C,Medio,1
1078,21655.2,42148.83,102,6,911.79,4,6,9.1,Digital,A,Medio,1
1079,14046.92,5113.77,24,19,1710.5,3,6,0.2,Digital,B,Micro,1
