id_cliente,reduziu_compras,segmento_A,var_compras_6m,freq_compras_trim,ticket_medio_ratio,tempo_cliente_anos,nps_score,canal_digital,vendedor_rotatividade,regiao,porte,inadimplencia_hist,segmento,prob_churn_real
1001,1,1,3.5,1,0.861,0.2,4.0,1,4,Sudeste,Micro,1,A,0.1684
1002,0,0,24.0,7,0.923,2.1,8.0,0,3,Nordeste,Micro,0,B,0.0005
1003,0,1,6.8,1,0.869,0.2,4.0,1,1,Centro-Oeste,Grande,1,A,0.0556
1004,1,1,-7.0,1,0.434,3.9,,1,4,Sudeste,Micro,0,A,0.4652
1005,0,0,34.7,5,1.052,2.8,8.0,0,1,Sul,Medio,0,B,0.001
1006,0,0,-38.3,7,1.008,7.2,6.0,0,1,Sul,Medio,0,B,0.0145
1007,0,0,5.7,3,0.556,15.3,,0,0,Sul,Micro,0,C,0.002
1008,0,0,-5.9,3,0.78,20.0,6.0,0,1,Nordeste,Grande,0,B,0.0009
1009,0,1,21.7,1,0.216,4.1,7.0,1,3,Centro-Oeste,Micro,0,A,0.1541
1010,0,0,-16.0,5,1.072,15.0,8.0,0,1,Centro-Oeste,Grande,0,B,0.0015
1011,0,0,-18.9,5,0.875,0.2,,1,0,Sul,Micro,1,B,0.0694
1012,0,1,-30.5,0,0.709,4.0,4.0,0,2,Nordeste,Grande,0,A,0.2448
1013,0,0,-2.5,4,1.343,5.1,9.0,0,1,Norte,Micro,0,C,0.0009
1014,0,1,-25.5,1,0.78,0.6,5.0,1,2,Sul,Medio,0,A,0.3352
1015,0,0,26.1,2,1.114,3.5,6.0,0,0,Sul,Medio,0,C,0.0093
1016,0,0,37.6,2,0.944,0.7,9.0,0,0,Sul,Grande,0,C,0.0014
1017,0,0,27.4,2,0.888,10.3,8.0,0,0,Sudeste,Grande,0,B,0.0007
1018,0,0,57.6,7,0.734,2.2,5.0,0,0,Sudeste,Medio,0,C,0.0002
1019,0,0,33.7,6,1.209,4.9,5.0,0,0,Sudeste,Grande,0,B,0.0011
1020,1,1,-30.7,0,1.12,0.5,1.0,0,1,Sudeste,Micro,0,A,0.3338
