id_cliente;reduziu_compras;segmento_A;var_compras_6m;freq_compras_trim;ticket_medio_ratio;tempo_cliente_anos;nps_score;canal_digital;vendedor_rotatividade;regiao;porte;inadimplencia_hist;segmento
1001;1;1;3.5;1;0.861;0.2;4.0;1;4;Sudeste;Micro;1;A
1002;0;0;24.0;7;0.923;2.1;8.0;0;3;Nordeste;Micro;0;B
1003;0;1;6.8;1;0.869;0.2;4.0;1;1;Centro-Oeste;Grande;1;A
1004;1;1;-7.0;1;0.434;3.9;;1;4;Sudeste;Micro;0;A
1005;0;0;34.7;5;1.052;2.8;8.0;0;1;Sul;Medio;0;B
1006;0;0;-38.3;7;1.008;7.2;6.0;0;1;Sul;Medio;0;B
1007;0;0;5.7;3;0.556;15.3;;0;0;Sul;Micro;0;C
1008;0;0;-5.9;3;0.78;20.0;6.0;0;1;Nordeste;Grande;0;B
1009;0;1;21.7;1;0.216;4.1;7.0;1;3;Centro-Oeste;Micro;0;A
1010;0;0;-16.0;5;1.072;15.0;8.0;0;1;Centro-Oeste;Grande;0;B
1011;0;0;-18.9;5;0.875;0.2;;1;0;Sul;Micro;1;B
1012;0;1;-30.5;0;0.709;4.0;4.0;0;2;Nordeste;Grande;0;A
1013;0;0;-2.5;4;1.343;5.1;9.0;0;1;Norte;Micro;0;C
1014;0;1;-25.5;1;0.78;0.6;5.0;1;2;Sul;Medio;0;A
1015;0;0;26.1;2;1.114;3.5;6.0;0;0;Sul;Medio;0;C
1016;0;0;37.6;2;0.944;0.7;9.0;0;0;Sul;Grande;0;C
1017;0;0;27.4;2;0.888;10.3;8.0;0;0;Sudeste;Grande;0;B
1018;0;0;57.6;7;0.734;2.2;5.0;0;0;Sudeste;Medio;0;C
1019;0;0;33.7;6;1.209;4.9;5.0;0;0;Sudeste;Grande;0;B
1020;1;1;-30.7;0;1.12;0.5;1.0;0;1;Sudeste;Micro;0;A
1021;0;0;5.8;3;1.308;1.2;;1;3;Centro-Oeste;Micro;0;B
1022;0;1;-2.2;2;0.519;1.9;6.0;0;1;Sul;Micro;1;A
1023;0;0;-15.1;5;1.326;7.0;7.0;0;0;Sudeste;Micro;0;B
1024;0;0;1.8;7;1.014;16.3;7.0;0;3;Sudeste;Micro;0;B
1025;0;0;21.0;6;1.374;1.8;5.0;0;1;Sudeste;Medio;0;B
