id_cliente,recencia_dias,freq_compras_ano,valor_total_ano,var_compras_ano_ant,ticket_medio,num_produtos_distintos,nps_score,canal_digital,segmento_A,segmento,porte,regiao
1001,91,4,5138.77,14.1,1145.29,2,4,1,1,A,Micro,Sudeste
1002,21,12,64778.48,-10.4,1908.63,5,8,0,0,B,Micro,Nordeste
1003,86,3,3105.15,-31.1,821.56,1,4,1,1,A,Grande,Centro-Oeste
1004,88,2,1142.36,-41.5,586.03,2,5,1,1,A,Micro,Sudeste
1005,28,11,37064.87,29.9,2906.05,4,8,0,0,B,Medio,Sul
1006,26,19,35194.04,17.9,2702.65,10,6,0,0,B,Medio,Sul
1007,26,13,45798.74,-7.7,3102.76,7,8,0,0,C,Micro,Sul
1008,30,25,35364.91,8.2,2775.84,8,6,0,0,B,Grande,Nordeste
1009,75,1,582.19,-17.7,1276.08,1,7,1,1,A,Micro,Centro-Oeste
1010,26,13,27447.54,5.8,3408.05,4,8,0,0,B,Grande,Centro-Oeste
1011,31,22,31764.82,22.2,4817.45,10,6,1,0,B,Micro,Sul
1012,94,5,5750.25,-24.3,1091.76,1,4,0,1,A,Grande,Nordeste
1013,38,10,37644.12,-4.7,3050.61,3,9,0,0,C,Micro,Norte
1014,84,4,5156.26,-12.0,1059.6,1,5,1,1,A,Medio,Sul
1015,15,16,61999.02,29.5,1920.4,6,6,0,0,C,Medio,Sul
1016,16,18,56267.4,13.3,1044.2,2,9,0,0,C,Grande,Sul
1017,33,18,80367.82,14.6,4801.42,11,8,0,0,B,Grande,Sudeste
1018,30,15,76379.29,1.8,3967.94,7,5,0,0,C,Medio,Sudeste
1019,21,16,25014.85,-3.3,1024.86,5,5,0,0,B,Grande,Sudeste
1020,87,6,6069.09,-25.3,2371.95,2,1,0,1,A,Micro,Sudeste
1021,23,22,38586.78,-13.7,5301.29,2,5,1,0,B,Micro,Centro-Oeste
1022,93,4,3301.69,-25.6,926.26,1,6,0,1,A,Micro,Sul
1023,13,14,47048.84,-13.8,1551.21,6,7,0,0,B,Micro,Sudeste
1024,23,16,46098.5,1.4,1325.31,6,7,0,0,B,Micro,Sudeste
1025,25,18,37328.01,24.5,2001.02,7,5,0,0,B,Medio,Sudeste
1026,109,5,6823.2,-42.7,461.42,2,2,0,1,A,Micro,Norte
1027,33,18,83117.52,29.8,3700.82,4,3,0,0,B,Medio,Sul
1028,26,18,32834.76,30.9,2374.0,3,7,0,0,C,Micro,Sudeste
1029,102,4,8141.78,-45.3,1774.38,1,5,1,1,A,Micro,Sudeste
1030,21,18,41687.82,15.4,4180.25,6,4,1,0,B,Medio,Sul
1031,94,3,2575.81,-12.7,1264.27,1,1,1,1,A,Medio,Centro-Oeste
1032,20,19,36675.11,20.7,3964.69,3,6,0,0,B,Medio,Sul
1033,93,4,2251.66,15.7,953.93,1,4,0,1,A,Medio,Sul
1034,17,13,25342.42,11.7,2316.51,5,7,0,0,B,Micro,Nordeste
1035,89,3,1035.69,7.5,481.78,2,1,1,1,A,Medio,Nordeste
1036,93,6,10224.51,-14.1,406.06,1,1,1,1,A,Micro,Norte
1037,24,17,54598.12,3.6,2304.85,7,8,1,0,C,Micro,Sudeste
1038,102,2,1839.77,-50.3,1093.31,1,1,1,1,A,Micro,Sul
1039,27,24,141742.95,5.3,1552.13,6,5,0,0,B,Micro,Centro-Oeste
1040,72,6,7299.95,-1.8,861.69,1,3,0,1,A,Micro,Sudeste
1041,29,20,38856.5,40.2,8668.48,4,6,0,0,B,Grande,Sul
1042,25,13,42928.03,10.0,1475.17,8,7,1,0,B,Grande,Sudeste
1043,92,7,5546.61,-9.9,237.19,1,3,1,1,A,Micro,Sul
1044,84,3,3128.65,-52.1,1194.82,2,4,1,1,A,Micro,Nordeste
1045,76,5,8507.86,-27.5,821.1,1,3,1,1,A,Micro,Sudeste
1046,28,15,24780.11,13.5,1738.97,5,7,1,0,B,Micro,Centro-Oeste
1047,31,16,57313.86,3.1,1281.61,6,8,1,0,C,Grande,Sudeste
1048,18,17,64011.86,9.9,3509.51,5,6,1,0,B,Micro,Sudeste
1049,22,15,44604.58,-27.1,5987.47,5,4,0,0,B,Medio,Sudeste
1050,88,6,7235.65,-61.9,759.78,3,6,0,1,A,Micro,Sul
1051,92,8,6919.66,-25.8,918.42,1,7,1,1,A,Grande,Nordeste
1052,80,3,2960.58,-67.7,458.89,2,6,1,1,A,Micro,Norte
1053,91,2,1425.62,-36.7,816.74,2,5,0,1,A,Medio,Nordeste
1054,82,1,1811.46,-37.3,929.55,2,3,0,1,A,Micro,Nordeste
1055,24,12,22279.23,18.2,6925.12,5,6,0,0,B,Medio,Sudeste
1056,16,19,51519.64,0.7,2182.33,10,9,1,0,B,Micro,Nordeste
1057,33,16,59528.16,14.6,5229.49,5,5,0,0,C,Micro,Sul
1058,87,6,5205.48,12.6,388.5,2,6,1,1,A,Grande,Sul
1059,24,20,17608.27,36.1,2547.63,11,7,1,0,B,Grande,Sul
1060,24,18,28010.75,-7.8,1823.89,4,9,0,0,C,Grande,Sudeste
1061,21,12,18336.42,27.6,6628.65,6,8,1,0,B,Medio,Sudeste
1062,93,4,4580.39,-25.1,526.25,1,5,0,1,A,Medio,Sudeste
1063,75,10,6869.01,3.4,947.23,1,3,1,1,A,Micro,Norte
1064,103,7,4459.42,-12.6,561.47,1,3,0,1,A,Micro,Sudeste
1065,77,4,5657.26,-41.6,938.71,2,3,1,1,A,Micro,Sudeste
1066,21,20,57141.96,32.7,839.13,3,8,0,0,B,Medio,Sudeste
1067,74,5,4934.06,-37.8,526.24,4,4,0,1,A,Micro,Sul
1068,99,2,3715.96,-16.1,691.63,3,3,0,1,A,Micro,Norte
1069,25,21,64390.61,11.7,1703.53,6,5,0,0,B,Medio,Sul
1070,31,22,90361.51,32.1,1049.66,6,8,0,0,C,Medio,Nordeste
1071,34,21,56853.65,6.3,2822.1,5,6,0,0,B,Micro,Norte
1072,28,12,25993.85,42.4,3377.51,9,6,0,0,B,Micro,Sul
1073,27,20,72860.06,2.2,3935.43,5,5,0,0,B,Micro,Sul
1074,95,6,3922.9,-55.2,766.76,1,1,1,1,A,Micro,Norte
1075,27,15,66794.51,22.1,1786.98,10,6,0,0,B,Micro,Centro-Oeste
1076,27,15,33317.69,17.8,2080.65,3,7,1,0,B,Medio,Centro-Oeste
1077,26,14,21557.85,17.7,4409.62,7,5,0,0,C,Medio,Norte
1078,106,3,1690.76,2.7,999.9,1,6,1,1,A,Medio,Sul
1079,21,24,109743.4,27.0,1585.79,5,6,1,0,B,Micro,Sudeste
1080,78,5,5477.67,7.8,1092.31,5,4,1,1,A,Medio,Sul
1081,21,20,55624.6,-14.3,3380.57,6,5,1,0,B,Micro,Nordeste
1082,96,5,3856.17,0.1,558.82,1,3,1,1,A,Medio,Centro-Oeste
1083,77,3,1705.53,-36.8,631.71,1,7,1,1,A,Medio,Sudeste
1084,21,20,78706.2,38.3,990.55,6,7,0,0,C,Micro,Sul
1085,23,10,66508.82,16.8,877.21,8,7,0,0,B,Micro,Sudeste
1086,24,24,29675.05,-12.0,1143.54,7,7,0,0,B,Grande,Sudeste
1087,80,3,2569.91,-18.1,497.04,1,7,1,1,A,Micro,Centro-Oeste
1088,89,6,4187.98,-45.0,946.68,1,3,1,1,A,Medio,Centro-Oeste
1089,17,14,54799.98,25.2,6201.93,9,6,0,0,B,Micro,Nordeste
1090,22,11,20319.05,51.3,1466.22,6,7,0,0,C,Medio,Sudeste
1091,21,13,24942.43,-6.2,4370.23,4,6,1,0,C,Micro,Sul
1092,24,8,48214.67,31.5,4128.26,2,7,1,0,B,Micro,Centro-Oeste
1093,24,11,80670.0,-30.2,6353.32,15,6,1,0,B,Medio,Norte
1094,28,13,45793.68,-5.9,2588.92,4,7,1,0,C,Micro,Sudeste
1095,26,14,48638.6,26.1,2333.54,7,6,0,0,B,Micro,Norte
1096,18,22,62366.19,50.4,5152.84,3,8,0,0,B,Micro,Sudeste
1097,95,7,5513.42,-11.1,666.36,2,5,0,1,A,Micro,Sudeste
1098,15,15,67211.44,19.1,1365.28,5,4,0,0,B,Micro,Sudeste
1099,29,17,32932.15,37.2,3818.07,5,5,0,0,B,Micro,Sul
1100,21,22,63322.28,32.7,1543.35,3,8,0,0,C,Grande,Sul
1101,26,22,55750.41,8.4,1806.06,5,6,0,0,C,Micro,Sul
1102,94,5,5992.47,-33.0,4808.22,1,2,1,1,A,Medio,Centro-Oeste
1103,24,13,16159.26,-1.8,2530.08,5,5,1,0,B,Micro,Sudeste
1104,30,9,28436.05,7.3,1621.7,5,7,1,0,C,Micro,Sudeste
1105,102,12,9379.26,-24.9,812.08,2,5,1,1,A,Grande,Nordeste
1106,75,5,3042.89,-32.0,1579.35,3,2,1,1,A,Micro,Sudeste
1107,80,4,8332.23,32.5,936.97,1,4,1,1,A,Grande,Sudeste
1108,22,11,17866.14,-10.2,1884.83,5,7,0,0,B,Micro,Centro-Oeste
1109,72,6,6261.76,-31.1,1217.84,1,5,0,1,A,Medio,Sudeste
1110,24,18,64278.18,20.7,701.43,7,7,0,0,B,Medio,Sul
1111,97,4,11517.05,-60.8,1093.03,1,5,0,1,A,Grande,Sudeste
1112,20,16,59761.22,10.1,2070.01,5,6,0,0,C,Medio,Sul
1113,95,6,4273.42,-7.9,1306.59,3,5,1,1,A,Medio,Nordeste
1114,93,7,9387.03,-56.6,1240.38,1,3,0,1,A,Micro,Norte
1115,22,21,54865.81,5.1,4138.16,8,7,1,0,B,Micro,Centro-Oeste
1116,21,17,97993.59,14.9,3395.59,8,6,1,0,B,Grande,Nordeste
1117,81,5,4311.81,-14.0,341.89,2,8,0,1,A,Micro,Norte
1118,80,4,2459.81,-30.7,1336.23,1,7,0,1,A,Micro,Sul
1119,95,7,14983.75,-14.0,1602.66,1,5,0,1,A,Medio,Nordeste
1120,20,15,30041.59,9.7,1765.23,10,8,1,0,B,Micro,Sudeste
1121,32,18,112422.49,28.8,2812.71,6,3,0,0,B,Grande,Norte
1122,24,14,39413.59,25.0,1888.79,8,6,0,0,B,Medio,Nordeste
1123,30,15,44303.4,-5.1,2192.18,10,4,0,0,B,Medio,Sudeste
1124,35,21,50845.81,-1.0,2368.48,8,5,0,0,B,Grande,Sul
1125,71,1,788.01,-43.9,1784.17,3,4,0,1,A,Micro,Sudeste
1126,24,20,54910.5,19.0,2283.58,4,5,0,0,C,Micro,Sudeste
1127,31,20,35722.93,5.9,1707.25,3,4,0,0,C,Medio,Norte
1128,88,2,1363.54,4.3,1446.47,2,5,0,1,A,Micro,Nordeste
1129,96,8,8831.88,4.5,604.61,1,5,1,1,A,Medio,Sul
1130,105,5,17302.33,14.7,1306.71,1,2,1,1,A,Grande,Sudeste
