id_transacao,id_cliente,produto,categoria,data_pedido,qtd,valor_item,canal,segmento_cliente
1,1308,Produto Kappa,Linha_E,2024-01-12,4,223.54,Telefone,A
2,1912,Produto Eta,Linha_D,2024-12-05,5,69.16,Presencial,B
2,1912,Produto Delta,Linha_B,2024-12-05,4,355.11,Presencial,B
3,4447,Produto Epsilon,Linha_C,2024-05-04,5,152.41,Telefone,A
3,4447,Produto Beta,Linha_A,2024-05-04,4,233.12,Telefone,A
3,4447,Produto Theta,Linha_D,2024-05-04,4,422.6,Telefone,A
3,4447,Produto Delta,Linha_B,2024-05-04,2,323.92,Telefone,A
4,5308,Produto Iota,Linha_E,2024-10-11,5,159.77,Digital,A
4,5308,Produto Epsilon,Linha_C,2024-10-11,1,142.8,Digital,A
4,5308,Produto Beta,Linha_A,2024-10-11,2,217.02,Digital,A
4,5308,Produto Delta,Linha_B,2024-10-11,5,354.63,Digital,A
5,3825,Produto Gamma,Linha_B,2024-04-29,3,93.37,Presencial,B
5,3825,Produto Epsilon,Linha_C,2024-04-29,3,154.76,Presencial,B
5,3825,Produto Beta,Linha_A,2024-04-29,1,222.27,Presencial,B
6,4597,Produto Alpha,Linha_A,2024-04-16,2,190.09,Presencial,C
6,4597,Produto Epsilon,Linha_C,2024-04-16,4,152.82,Presencial,C
7,2555,Produto Gamma,Linha_B,2024-11-30,5,100.84,Telefone,C
7,2555,Produto Iota,Linha_E,2024-11-30,2,175.06,Telefone,C
7,2555,Produto Epsilon,Linha_C,2024-11-30,2,136.65,Telefone,C
8,3297,Produto Gamma,Linha_B,2025-03-06,5,86.93,Digital,A
8,3297,Produto Eta,Linha_D,2025-03-06,5,74.55,Digital,A
9,1184,Produto Iota,Linha_E,2025-05-31,3,146.33,Digital,C
9,1184,Produto Eta,Linha_D,2025-05-31,5,76.38,Digital,C
10,4127,Produto Alpha,Linha_A,2024-07-11,4,186.38,Digital,C
10,4127,Produto Eta,Linha_D,2024-07-11,5,82.98,Digital,C
11,4350,Produto Delta,Linha_B,2024-03-16,3,337.11,Digital,A
11,4350,Produto Kappa,Linha_E,2024-03-16,4,228.43,Digital,A
12,4053,Produto Epsilon,Linha_C,2025-08-26,2,136.59,Digital,A
12,4053,Produto Eta,Linha_D,2025-08-26,5,76.72,Digital,A
12,4053,Produto Theta,Linha_D,2025-08-26,2,434.78,Digital,A
13,5366,Produto Epsilon,Linha_C,2024-04-27,4,131.63,Digital,B
13,5366,Produto Eta,Linha_D,2024-04-27,2,83.29,Digital,B
13,5366,Produto Zeta,Linha_C,2024-04-27,2,298.86,Digital,B
13,5366,Produto Kappa,Linha_E,2024-04-27,2,203.74,Digital,B
14,5074,Produto Alpha,Linha_A,2024-05-28,1,195.35,Telefone,A
15,3201,Produto Beta,Linha_A,2025-09-02,2,266.28,Telefone,A
15,3201,Produto Delta,Linha_B,2025-09-02,3,341.24,Telefone,A
16,5335,Produto Gamma,Linha_B,2024-01-07,5,105.74,Presencial,B
16,5335,Produto Eta,Linha_D,2024-01-07,5,81.33,Presencial,B
16,5335,Produto Zeta,Linha_C,2024-01-07,5,262.63,Presencial,B
17,1148,Produto Gamma,Linha_B,2024-07-20,4,96.6,Digital,A
17,1148,Produto Zeta,Linha_C,2024-07-20,3,276.9,Digital,A
17,1148,Produto Eta,Linha_D,2024-07-20,4,70.44,Digital,A
17,1148,Produto Theta,Linha_D,2024-07-20,3,446.77,Digital,A
18,4905,Produto Iota,Linha_E,2024-12-14,2,173.05,Digital,A
18,4905,Produto Epsilon,Linha_C,2024-12-14,3,139.97,Digital,A
19,3059,Produto Gamma,Linha_B,2025-12-22,1,105.91,Digital,A
19,3059,Produto Iota,Linha_E,2025-12-22,3,164.96,Digital,A
19,3059,Produto Epsilon,Linha_C,2025-12-22,4,128.57,Digital,A
19,3059,Produto Eta,Linha_D,2025-12-22,1,70.72,Digital,A
20,3976,Produto Alpha,Linha_A,2024-08-30,1,201.5,Presencial,A
20,3976,Produto Epsilon,Linha_C,2024-08-30,5,156.78,Presencial,A
21,5496,Produto Alpha,Linha_A,2024-09-18,5,170.59,Presencial,B
21,5496,Produto Beta,Linha_A,2024-09-18,4,216.3,Presencial,B
22,3412,Produto Alpha,Linha_A,2025-02-23,1,199.27,Telefone,A
22,3412,Produto Beta,Linha_A,2025-02-23,2,249.85,Telefone,A
23,1677,Produto Iota,Linha_E,2024-10-22,3,159.0,Digital,B
23,1677,Produto Epsilon,Linha_C,2024-10-22,4,135.29,Digital,B
24,3766,Produto Beta,Linha_A,2025-12-23,4,259.64,Telefone,A
25,4352,Produto Beta,Linha_A,2025-03-02,1,252.83,Telefone,C
25,4352,Produto Eta,Linha_D,2025-03-02,1,68.74,Telefone,C
26,1769,Produto Gamma,Linha_B,2024-03-03,5,95.32,Telefone,B
26,1769,Produto Iota,Linha_E,2024-03-03,1,148.28,Telefone,B
26,1769,Produto Beta,Linha_A,2024-03-03,5,221.6,Telefone,B
26,1769,Produto Alpha,Linha_A,2024-03-03,4,190.62,Telefone,B
27,4297,Produto Alpha,Linha_A,2025-06-14,1,163.56,Digital,B
27,4297,Produto Iota,Linha_E,2025-06-14,4,173.64,Digital,B
27,4297,Produto Epsilon,Linha_C,2025-06-14,5,136.89,Digital,B
28,5699,Produto Theta,Linha_D,2024-03-13,1,442.27,Digital,B
28,5699,Produto Beta,Linha_A,2024-03-13,3,253.12,Digital,B
28,5699,Produto Eta,Linha_D,2024-03-13,1,78.63,Digital,B
28,5699,Produto Delta,Linha_B,2024-03-13,2,348.57,Digital,B
29,3372,Produto Alpha,Linha_A,2024-01-22,1,193.19,Presencial,A
29,3372,Produto Beta,Linha_A,2024-01-22,4,231.84,Presencial,A
29,3372,Produto Zeta,Linha_C,2024-01-22,1,309.34,Presencial,A
30,4022,Produto Beta,Linha_A,2024-11-11,1,248.11,Digital,C
31,4038,Produto Beta,Linha_A,2025-08-01,5,218.92,Telefone,C
31,4038,Produto Delta,Linha_B,2025-08-01,1,294.88,Telefone,C
32,3403,Produto Beta,Linha_A,2024-04-25,1,225.05,Digital,A
33,3271,Produto Gamma,Linha_B,2025-01-08,1,98.59,Telefone,C
33,3271,Produto Eta,Linha_D,2025-01-08,3,77.05,Telefone,C
34,1682,Produto Alpha,Linha_A,2025-09-28,4,175.1,Digital,A
34,1682,Produto Beta,Linha_A,2025-09-28,2,218.7,Digital,A
34,1682,Produto Eta,Linha_D,2025-09-28,1,76.72,Digital,A
35,5075,Produto Alpha,Linha_A,2025-09-29,1,201.13,Telefone,C
35,5075,Produto Epsilon,Linha_C,2025-09-29,1,145.19,Telefone,C
35,5075,Produto Gamma,Linha_B,2025-09-29,4,93.44,Telefone,C
36,3540,Produto Iota,Linha_E,2024-10-10,1,170.27,Telefone,C
36,3540,Produto Epsilon,Linha_C,2024-10-10,1,135.03,Telefone,C
37,4799,Produto Alpha,Linha_A,2024-03-14,4,194.45,Presencial,A
37,4799,Produto Gamma,Linha_B,2024-03-14,5,95.37,Presencial,A
38,5261,Produto Gamma,Linha_B,2025-01-29,5,95.43,Presencial,A
38,5261,Produto Beta,Linha_A,2025-01-29,1,267.12,Presencial,A
38,5261,Produto Zeta,Linha_C,2025-01-29,3,304.8,Presencial,A
38,5261,Produto Alpha,Linha_A,2025-01-29,5,174.34,Presencial,A
38,5261,Produto Delta,Linha_B,2025-01-29,5,340.98,Presencial,A
39,5536,Produto Iota,Linha_E,2025-03-06,1,174.22,Digital,A
39,5536,Produto Epsilon,Linha_C,2025-03-06,2,132.67,Digital,A
39,5536,Produto Zeta,Linha_C,2025-03-06,5,286.99,Digital,A
40,4914,Produto Beta,Linha_A,2025-02-04,2,256.83,Digital,B
40,4914,Produto Eta,Linha_D,2025-02-04,2,74.49,Digital,B
41,2444,Produto Beta,Linha_A,2025-09-06,5,234.28,Telefone,B
41,2444,Produto Theta,Linha_D,2025-09-06,1,405.7,Telefone,B
42,4915,Produto Gamma,Linha_B,2025-02-10,3,90.79,Telefone,A
42,4915,Produto Iota,Linha_E,2025-02-10,3,144.07,Telefone,A
42,4915,Produto Epsilon,Linha_C,2025-02-10,4,154.97,Telefone,A
42,4915,Produto Zeta,Linha_C,2025-02-10,1,321.11,Telefone,A
43,5704,Produto Alpha,Linha_A,2024-03-24,5,162.88,Telefone,A
43,5704,Produto Iota,Linha_E,2024-03-24,4,168.41,Telefone,A
43,5704,Produto Epsilon,Linha_C,2024-03-24,4,135.75,Telefone,A
43,5704,Produto Beta,Linha_A,2024-03-24,4,226.92,Telefone,A
44,2234,Produto Gamma,Linha_B,2025-06-05,5,90.42,Digital,A
44,2234,Produto Epsilon,Linha_C,2025-06-05,3,132.43,Digital,A
44,2234,Produto Beta,Linha_A,2025-06-05,1,229.41,Digital,A
44,2234,Produto Alpha,Linha_A,2025-06-05,3,200.45,Digital,A
45,2099,Produto Alpha,Linha_A,2025-10-25,2,173.67,Presencial,B
45,2099,Produto Beta,Linha_A,2025-10-25,4,237.34,Presencial,B
46,1418,Produto Gamma,Linha_B,2025-03-03,1,87.12,Telefone,A
46,1418,Produto Iota,Linha_E,2025-03-03,4,150.76,Telefone,A
46,1418,Produto Epsilon,Linha_C,2025-03-03,2,137.92,Telefone,A
46,1418,Produto Alpha,Linha_A,2025-03-03,2,178.52,Telefone,A
